message_id,channel_name,class_name,confidence,image_category,image_path
2791,HakimApps_Guideline,tv,0.3155,promotional,data/raw/images\HakimApps_Guideline\2791.jpg
2792,HakimApps_Guideline,microwave,0.4392,promotional,data/raw/images\HakimApps_Guideline\2792.jpg
2793,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2793.jpg
2799,HakimApps_Guideline,person,0.8302,promotional,data/raw/images\HakimApps_Guideline\2799.jpg
2800,HakimApps_Guideline,person,0.8416,promotional,data/raw/images\HakimApps_Guideline\2800.jpg
2800,HakimApps_Guideline,person,0.7911,promotional,data/raw/images\HakimApps_Guideline\2800.jpg
2800,HakimApps_Guideline,person,0.7873,promotional,data/raw/images\HakimApps_Guideline\2800.jpg
2800,HakimApps_Guideline,train,0.5377,promotional,data/raw/images\HakimApps_Guideline\2800.jpg
2806,HakimApps_Guideline,none,0.0,other,data/raw/images\HakimApps_Guideline\2806.jpg
2807,HakimApps_Guideline,person,0.548,promotional,data/raw/images\HakimApps_Guideline\2807.jpg
2808,HakimApps_Guideline,microwave,0.4392,promotional,data/raw/images\HakimApps_Guideline\2808.jpg
2809,HakimApps_Guideline,cell phone,0.3388,promotional,data/raw/images\HakimApps_Guideline\2809.jpg
41340,HakimEthio,none,0.0,other,data/raw/images\HakimEthio\41340.jpg
41341,HakimEthio,none,0.0,other,data/raw/images\HakimEthio\41341.jpg
41342,HakimEthio,person,0.942,promotional,data/raw/images\HakimEthio\41342.jpg
41342,HakimEthio,person,0.9204,promotional,data/raw/images\HakimEthio\41342.jpg
41342,HakimEthio,person,0.9087,promotional,data/raw/images\HakimEthio\41342.jpg
41342,HakimEthio,person,0.882,promotional,data/raw/images\HakimEthio\41342.jpg
41343,HakimEthio,person,0.8698,promotional,data/raw/images\HakimEthio\41343.jpg
41343,HakimEthio,clock,0.4653,promotional,data/raw/images\HakimEthio\41343.jpg
41344,HakimEthio,person,0.9023,promotional,data/raw/images\HakimEthio\41344.jpg
41344,HakimEthio,person,0.9008,promotional,data/raw/images\HakimEthio\41344.jpg
41344,HakimEthio,person,0.8983,promotional,data/raw/images\HakimEthio\41344.jpg
41344,HakimEthio,person,0.8661,promotional,data/raw/images\HakimEthio\41344.jpg
41345,HakimEthio,person,0.9113,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8931,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8844,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8836,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8737,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8379,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8322,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.8113,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.7699,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,person,0.6995,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,tie,0.3767,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,tie,0.3506,promotional,data/raw/images\HakimEthio\41345.jpg
41345,HakimEthio,tie,0.3478,promotional,data/raw/images\HakimEthio\41345.jpg
41346,HakimEthio,person,0.8716,promotional,data/raw/images\HakimEthio\41346.jpg
41346,HakimEthio,person,0.8495,promotional,data/raw/images\HakimEthio\41346.jpg
41346,HakimEthio,person,0.7002,promotional,data/raw/images\HakimEthio\41346.jpg
41346,HakimEthio,person,0.6439,promotional,data/raw/images\HakimEthio\41346.jpg
41346,HakimEthio,person,0.5082,promotional,data/raw/images\HakimEthio\41346.jpg
41347,HakimEthio,person,0.937,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,person,0.9021,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,person,0.8928,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,person,0.8918,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,person,0.8728,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,person,0.8665,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,tie,0.701,promotional,data/raw/images\HakimEthio\41347.jpg
41347,HakimEthio,potted plant,0.5461,promotional,data/raw/images\HakimEthio\41347.jpg
41348,HakimEthio,person,0.8159,promotional,data/raw/images\HakimEthio\41348.jpg
41349,HakimEthio,person,0.7426,promotional,data/raw/images\HakimEthio\41349.jpg
41349,HakimEthio,sink,0.376,promotional,data/raw/images\HakimEthio\41349.jpg
41349,HakimEthio,toilet,0.3389,promotional,data/raw/images\HakimEthio\41349.jpg
41350,HakimEthio,cell phone,0.6009,promotional,data/raw/images\HakimEthio\41350.jpg
41350,HakimEthio,person,0.5843,promotional,data/raw/images\HakimEthio\41350.jpg
